"CellType","Count","Proportion"
"B cells",21301,0.145678742160732
"Basophils",2619,0.0179114889309871
"Dendritic cells",6820,0.0466423652192943
"Endothelial cells",2172,0.014854430682743
"Epithelial cells",14688,0.100452061633577
"Fibroblasts",896,0.00612779460945568
"Macrophages",15000,0.102585847256512
"Monocytes",8005,0.0547466471525588
"Neutrophils",4512,0.030857822854759
"NK cells",4961,0.0339285592159706
"Other",3109,0.0212626266080332
"Platelets",4,2.735622593507e-05
"Progenitors",667,0.00456165067467292
"Smooth muscle cells",563,0.0038503888003611
"T cells",60902,0.416512217974408
